slice_index,z_cen,slice_half_width,n_galaxies,n_peaks
80,0.8,0.054,31359,113
81,0.81,0.0543,30718,109
82,0.82,0.0546,30747,112
83,0.83,0.0549,31957,116
84,0.84,0.0552,32778,114
85,0.85,0.0555,32872,115
86,0.86,0.0558,32862,113
87,0.87,0.0561,32831,113
88,0.88,0.0564,33523,120
89,0.89,0.0567,34070,120
90,0.9,0.057,33745,123
91,0.91,0.0573,34322,127
92,0.92,0.0576,34425,123
93,0.93,0.0579,33848,124
94,0.94,0.0582,32462,119
95,0.95,0.0585,30648,121
96,0.96,0.0588,29218,115
97,0.97,0.0591,28074,115
98,0.98,0.0594,27534,118
99,0.99,0.0597,26886,120
100,1.0,0.06,26171,124
101,1.01,0.0603,25886,128
102,1.02,0.0606,25667,129
103,1.03,0.0609,25095,130
104,1.04,0.0612,24474,129
105,1.05,0.0615,23819,138
106,1.06,0.0618,23214,134
107,1.07,0.0621,22999,126
108,1.08,0.0624,23230,131
109,1.09,0.0627,23968,129
110,1.1,0.063,24800,132
111,1.11,0.0633,25064,127
112,1.12,0.0636,24447,126
113,1.13,0.0639,23598,131
114,1.14,0.0642,22809,132
115,1.15,0.0645,22598,137
116,1.16,0.0648,22828,128
117,1.17,0.0651,23385,131
118,1.18,0.0654,23846,132
119,1.19,0.0657,24055,131
120,1.2,0.066,24236,138
121,1.21,0.0663,24350,138
122,1.22,0.0666,23930,139
123,1.23,0.0669,23104,141
124,1.24,0.0672,22699,136
125,1.25,0.0675,22720,136
126,1.26,0.0678,22856,136
127,1.27,0.0681,23320,135
128,1.28,0.0684,23504,145
129,1.29,0.0687,23411,145
130,1.3,0.069,22939,142
131,1.31,0.0693,22618,139
132,1.32,0.0696,22459,134
133,1.33,0.0699,22414,133
134,1.34,0.0702,22425,134
135,1.35,0.0705,22557,132
136,1.36,0.0708,22877,134
137,1.37,0.0711,23168,125
138,1.38,0.0714,23296,128
139,1.39,0.0717,23109,126
140,1.4,0.072,23057,122
141,1.41,0.0723,22586,120
142,1.42,0.0726,22541,119
143,1.43,0.0729,22894,121
144,1.44,0.0732,23810,118
145,1.45,0.0735,24705,120
146,1.46,0.0738,25271,119
147,1.47,0.0741,25701,119
148,1.48,0.0744,25723,117
149,1.49,0.0747,25393,120
150,1.5,0.075,24869,118
151,1.51,0.0753,24530,119
152,1.52,0.0756,24277,123
153,1.53,0.0759,24273,122
154,1.54,0.0762,24657,125
155,1.55,0.0765,25140,128
156,1.56,0.0768,26102,128
157,1.57,0.0771,26655,128
158,1.58,0.0774,26533,124
159,1.59,0.0777,25893,124
160,1.6,0.078,25325,131
161,1.61,0.0783,25020,133
162,1.62,0.0786,24661,132
163,1.63,0.0789,24392,123
164,1.64,0.0792,24363,128
