raw_id,cluster_index,merge_type,ID,survived
10838,286,merged,286.0,True
40816,698,merged,689.0,True
5575,606,merged,600.0,True
1058,398,merged,398.0,True
9049,997,merged,975.0,True
3525,1260,seed,1220.0,True
11539,751,merged,741.0,True
39824,1033,merged,1007.0,True
23877,662,merged,653.0,True
18736,966,merged,946.0,True
27301,1255,merged,1216.0,True
38994,431,merged,430.0,True
37329,720,merged,711.0,True
25984,1208,merged,1174.0,True
19668,157,merged,158.0,True
15039,779,merged,767.0,True
18833,878,merged,862.0,True
8212,118,merged,119.0,True
9068,992,merged,970.0,True
11226,1254,merged,1215.0,True
5062,929,merged,911.0,True
25744,651,merged,642.0,True
11429,309,merged,309.0,True
11145,1215,merged,1181.0,True
2910,1202,merged,1168.0,True
37216,517,merged,513.0,True
38539,431,merged,430.0,True
10158,1178,merged,1146.0,True
3432,1167,merged,1136.0,True
28802,816,merged,804.0,True
19530,157,merged,158.0,True
4065,975,merged,954.0,True
2355,502,merged,499.0,True
34397,592,merged,587.0,True
24354,1197,merged,1163.0,True
23627,1156,merged,1125.0,True
33851,320,merged,320.0,True
40710,1044,merged,1017.0,True
33881,1084,merged,1055.0,True
39061,678,merged,669.0,True
38610,678,merged,669.0,True
9997,868,merged,853.0,True
13996,1080,merged,1051.0,True
34995,1084,merged,1055.0,True
29089,1131,merged,1101.0,True
34887,800,merged,788.0,True
22667,1246,merged,1207.0,True
21429,770,merged,758.0,True
24373,1156,merged,1125.0,True
4775,1189,merged,1155.0,True
27825,968,merged,948.0,True
27047,1255,merged,1216.0,True
41282,742,merged,,False
14294,1037,merged,1011.0,True
23600,1054,merged,1026.0,True
37148,1133,merged,1103.0,True
8479,977,merged,956.0,True
25412,1052,merged,1024.0,True
24602,1220,merged,1185.0,True
38589,680,merged,671.0,True
19237,487,merged,485.0,True
32794,671,merged,662.0,True
19468,1129,merged,1099.0,True
21873,1023,merged,998.0,True
24364,1161,merged,1130.0,True
15046,537,merged,532.0,True
36753,1109,merged,1079.0,True
18027,1018,merged,993.0,True
19123,515,merged,511.0,True
2765,897,merged,880.0,True
5142,475,merged,473.0,True
26274,968,merged,948.0,True
19962,1060,merged,1032.0,True
25408,521,merged,517.0,True
22376,1171,merged,1139.0,True
19636,1117,merged,1087.0,True
33630,320,merged,320.0,True
24192,466,merged,465.0,True
8852,647,merged,638.0,True
19684,538,merged,533.0,True
18036,142,merged,143.0,True
7418,964,merged,944.0,True
7047,532,merged,528.0,True
29534,811,merged,799.0,True
38030,678,merged,669.0,True
18559,994,merged,972.0,True
21076,1014,merged,989.0,True
29532,804,merged,792.0,True
28700,266,merged,267.0,True
27869,867,merged,852.0,True
32182,665,merged,656.0,True
27003,369,merged,369.0,True
34681,1204,merged,1170.0,True
20519,142,merged,143.0,True
