ID,RA,Dec,z_peak,significance,delta,delta_candidate,best_scale_mpc,n_member_scale_mpc,n_member_z_cen,det_unique_slices,z_min_det,z_max_det,z_range,scales_hit,n_members,n_member_RA,n_member_Dec,n_slice_total,background_area_deg2,rho_aper_mpc2,rho_bg_mpc2,aperture_area_mpc2,aperture_area_effective_deg2,aperture_area_full_mpc2,background_area_mpc2
30,150.110986,1.978314,0.3,3.548,15.694,0.117,1.2,1.2,0.25,11,0.25,0.35,0.25-0.35,0.4|0.8|1.2,1422,150.119707,1.980294,14102,0.5225,142.66739648166194,127.7751866612679,9.967238731960597,0.04718750000000001,10.178760197630927,110.36571629031864
29,150.247124,2.076003,0.68,3.548,6.481,0.178,1.2,1.2,0.68,4,0.68,0.74,0.68-0.74,0.4|0.8|1.2,1370,150.247124,2.076003,40516,0.5225,133.3162676555774,113.1863632941021,10.276315292139705,0.015000000000000003,10.178760197630927,357.95831600953295
31,149.915616,2.231708,0.73,3.499,6.233,0.181,1.2,1.2,0.7,13,0.67,0.79,0.67-0.79,0.4|0.8|1.2,1391,149.920491,2.232077,42344,0.5225,136.50749003927905,115.56808372405158,10.189917048505908,0.014531250000000002,10.178760197630927,366.39873774412627
32,150.26801,1.839889,0.63,3.49,6.881,0.152,1.2,1.2,0.63,11,0.57,0.69,0.57-0.69,0.4|0.8|1.2,1417,150.26801,1.839889,41145,0.5225,141.23639577295674,122.63871006030467,10.03282469964672,0.015625000000000003,10.178760197630927,335.4976579561863
33,150.100732,2.246469,0.78,3.471,6.48,0.375,1.2,1.2,0.78,11,0.71,0.85,0.71-0.85,0.4|0.8|1.2,1159,150.100732,2.246469,33955,0.5225,117.58166440773775,85.5011046898604,9.856979026771874,0.012968750000000003,10.178760197630927,397.1293718737968
34,150.328075,2.370673,0.7,3.463,6.213,0.219,1.2,1.2,0.71,13,0.64,0.76,0.64-0.76,0.4|0.8|1.2,1408,150.332515,2.370906,41972,0.5225,138.13018510409492,113.28363127595276,10.193282510545622,0.014375000000000002,10.178760197630927,370.50365994852774
35,149.957818,2.653033,0.64,3.461,4.3,1.065,0.4,0.4,0.64,13,0.58,0.7,0.58-0.70,0.4,275,149.957818,2.653033,40492,0.5225,245.7767582332324,119.04297242081398,1.1189015673281681,0.0017187500000000002,1.1309733552923258,340.14607646776307
36,150.094165,2.54914,0.55,3.442,7.978,0.228,1.2,1.2,0.55,12,0.49,0.6,0.49-0.60,0.4|0.8|1.2,1331,150.094165,2.54914,31785,0.5225,132.12496612306327,107.56417034923074,10.073796338840955,0.017812500000000002,10.178760197630927,295.4980259393347
37,149.925333,2.215325,0.3,3.433,15.126,0.104,1.2,1.2,0.3,11,0.25,0.35,0.25-0.35,0.4|0.8|1.2,1244,149.925333,2.215325,16108,0.5225,124.21666140593129,112.55134304250295,10.014759581524219,0.036562500000000005,10.178760197630927,143.11690615648283
38,150.267638,2.350651,0.17,3.418,13.932,0.013,1.2,1.2,0.17,5,0.17,0.21,0.17-0.21,0.4|0.8|1.2,3110,150.267638,2.350651,20200,0.5225,337.23072438308486,332.7480808675388,9.222172759286089,0.07937500000000001,10.178760197630927,60.706586037505254
39,150.015309,2.243766,0.29,3.409,15.789,0.136,1.2,1.2,0.28,7,0.28,0.34,0.28-0.34,0.4|0.8|1.2,1278,150.025513,2.248605,14465,0.5225,126.47311446841739,111.29941375492113,10.104914434752372,0.04062500000000001,10.178760197630927,129.96474565312278
40,150.113822,1.985537,0.24,3.383,16.209,0.093,1.2,1.2,0.23,4,0.23,0.27,0.23-0.27,0.4|0.8|1.2,1679,150.113681,1.985332,14982,0.5225,167.90892112207655,153.6811915083305,9.999468692787916,0.05359375000000001,10.178760197630927,97.48753151219472
41,149.903231,2.123461,0.64,3.38,6.353,0.124,1.2,1.2,0.63,13,0.58,0.7,0.58-0.70,0.4|0.8|1.2,1425,149.902606,2.117963,41145,0.5225,137.89687222181647,122.63871006030467,10.333809440636122,0.016093750000000004,10.178760197630927,335.4976579561863
42,150.246574,1.887038,0.19,3.377,13.244,0.175,0.8,0.8,0.19,9,0.15,0.23,0.15-0.23,0.4|0.8,1343,150.246574,1.887038,18650,0.5225,301.9269598657047,257.03502685076165,4.448095660610627,0.032031250000000004,4.523893421169303,72.55820433698504
43,150.006849,2.487111,0.24,3.369,16.238,0.165,1.2,1.2,0.24,9,0.2,0.28,0.20-0.28,0.4|0.8|1.2,1518,150.006849,2.487111,14625,0.5225,163.94577457415576,140.7584015809123,9.259159035619914,0.04656250000000001,10.178760197630927,103.90143562118453
44,149.942943,2.531962,0.55,3.362,7.846,0.207,1.2,1.2,0.55,8,0.49,0.56,0.49-0.56,0.4|0.8|1.2,1251,149.942943,2.531962,31785,0.5225,129.88006478314946,107.56417034923074,9.631963166084775,0.017031250000000005,10.178760197630927,295.4980259393347
45,149.842002,2.121831,0.59,3.352,6.653,0.04,1.2,1.2,0.59,12,0.53,0.64,0.53-0.64,0.4|0.8|1.2,1336,149.842002,2.121831,39770,0.5225,130.8567712847303,125.80642462488059,10.209635977438317,0.016875000000000005,10.178760197630927,316.12058063475666
46,149.91596,2.203042,0.65,3.347,6.271,0.115,1.2,1.2,0.64,8,0.59,0.66,0.59-0.66,0.4|0.8|1.2,1310,149.926552,2.203253,40492,0.5225,132.77012506619977,119.04297242081398,9.866677457348393,0.015156250000000003,10.178760197630927,340.14607646776307
47,150.04693,2.450074,0.09,3.34,14.45,-0.068,1.2,1.2,0.07,5,0.05,0.09,0.05-0.09,0.4|0.8|1.2,8985,150.14709,2.322146,14041,0.5225,1011.7020696600978,1085.5209544211018,8.881073064344621,0.35875000000000007,10.178760197630927,12.934803278383452
48,150.298428,1.892074,0.89,3.34,6.461,0.315,1.2,1.2,0.89,15,0.82,0.96,0.82-0.96,0.4|0.8|1.2,1045,150.298428,1.892074,34070,0.5225,103.73131954570353,78.88493636819365,10.074103024782,0.012187500000000002,10.178760197630927,431.89487839578203
49,150.307542,1.942175,0.66,3.338,6.514,0.159,1.2,1.2,0.67,8,0.6,0.71,0.60-0.71,0.4|0.8|1.2,1285,150.300955,1.921581,39428,0.5225,129.2713091091256,111.49755703976061,9.940334083839554,0.014687500000000003,10.178760197630927,353.62209762084535
