n_members_threshold,candidates_kept,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,field_id,i_limit,total_covered_true_clusters,total_candidates_at_i22,candidate_csv,match_csv
23,1665,388,0.5808383233532934,626,0.375975975975976,2.4925149700598803,878,1.0118123980603606,0.03892319692046965,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
24,1599,383,0.5733532934131736,607,0.3796122576610381,2.393712574850299,857,1.0054500489186404,0.0389893425528901,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
25,1533,375,0.561377245508982,589,0.3842139595564253,2.2949101796407185,833,1.0075603253110417,0.0381296263354991,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
26,1472,363,0.5434131736526946,573,0.3892663043478261,2.2035928143712575,810,1.0095640692194392,0.0380015927962196,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
27,1423,359,0.5374251497005988,555,0.39002108222066056,2.1302395209580838,789,1.006421771091882,0.0379025669679551,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
28,1382,356,0.5329341317365269,546,0.3950795947901592,2.068862275449102,780,1.0037457589188454,0.0380015927962196,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
29,1328,351,0.5254491017964071,526,0.3960843373493976,1.9880239520958083,756,1.0046001545430703,0.037829524854366595,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
30,1282,346,0.5179640718562875,514,0.40093603744149764,1.9191616766467066,740,1.0037457589188454,0.03802713907499455,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
31,1248,343,0.5134730538922155,503,0.4030448717948718,1.8682634730538923,723,1.0032756769813778,0.0379870372485496,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
32,1206,338,0.5059880239520959,493,0.4087893864013267,1.8053892215568863,709,1.004215840856313,0.0379025669679551,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
