cut,n_candidates,matched_candidates,matched_true_clusters,recovery,purity_proxy,candidate_density,f1
PPM_significance >= 2.8866 & PPM_richness >= 53,410,215,216,0.18181818181818182,0.524390243902439,0.3451178451178451,0.27001569858712715
PPM_significance >= 3.0933 & PPM_richness >= 53,410,215,216,0.18181818181818182,0.524390243902439,0.3451178451178451,0.27001569858712715
PPM_richness >= 53,412,215,216,0.18181818181818182,0.5218446601941747,0.3468013468013468,0.26967701473816247
PPM_significance >= 2.269 & PPM_richness >= 53,412,215,216,0.18181818181818182,0.5218446601941747,0.3468013468013468,0.26967701473816247
PPM_significance >= 2.4423 & PPM_richness >= 53,412,215,216,0.18181818181818182,0.5218446601941747,0.3468013468013468,0.26967701473816247
PPM_significance >= 2.6151 & PPM_richness >= 53,412,215,216,0.18181818181818182,0.5218446601941747,0.3468013468013468,0.26967701473816247
PPM_richness/(rmax^2*z_rms) >= 224.107,405,193,223,0.18771043771043772,0.4765432098765432,0.3409090909090909,0.26933125572983646
PPM_richness/rmax^2 >= 4.002 & PPM_z_rms <= 0.05523,523,216,237,0.1994949494949495,0.4130019120458891,0.44023569023569026,0.2690358131065091
PPM_significance >= 5.8001 & PPM_richness >= 27,371,198,211,0.1776094276094276,0.5336927223719676,0.3122895622895623,0.26652206503883513
PPM_richness/rmax^2 >= 14.007 & PPM_z_rms <= 0.08998,408,205,214,0.18013468013468015,0.5024509803921569,0.3434343434343434,0.2651941049170022
PPM_significance >= 3.6009 & PPM_richness >= 53,404,210,211,0.1776094276094276,0.5198019801980198,0.3400673400673401,0.26475544030305564
PPM_rmax_mean >= 2.4489,366,178,212,0.17845117845117844,0.48633879781420764,0.30808080808080807,0.2610981955053692
PPM_significance >= 5.8001 & PPM_richness >= 32,355,188,204,0.1717171717171717,0.5295774647887324,0.2988215488215488,0.25934190773724997
PPM_richness/rmax^2 >= 13.007 & PPM_z_rms <= 0.08202,368,194,203,0.17087542087542087,0.5271739130434783,0.30976430976430974,0.25809369019844286
PPM_significance >= 4.2228 & PPM_richness >= 53,383,198,204,0.1717171717171717,0.5169712793733682,0.3223905723905724,0.2578026270440011
PPM_significance >= 5.8001 & PPM_z_rms <= 0.0852,326,185,197,0.16582491582491582,0.5674846625766872,0.27441077441077444,0.2566531221611115
