field_id,i_limit,input_rows_total,input_rows_kept,covered_true_clusters,candidates,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,match_csv,covered_cluster_csv,candidate_csv,input_fits
4,22.5,1227448.0,502383,1377,15006,1316,0.9557007988380537,3530,0.23523923763827803,10.89760348583878,4828,1.0242764514548302,0.04371844716628859,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_22p5/field04_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_22p5/field04_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field04_i_lt_22p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field04/csst_field_04_full7band_i_lt_22p5_blindsearch_input.fits
4,23.0,1227448.0,707037,1377,15137,1319,0.9578794480755265,3535,0.23353372530884586,10.99273783587509,4809,1.0264264322448093,0.04290720533972847,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_23p0/field04_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_23p0/field04_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field04_i_lt_23p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field04/csst_field_04_full7band_i_lt_23p0_blindsearch_input.fits
4,23.5,1227448.0,936018,1377,14917,1308,0.9498910675381264,3467,0.232419387276262,10.832970225127088,4715,1.0173727352524582,0.04315752680091456,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_23p5/field04_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_23p5/field04_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field04_i_lt_23p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field04/csst_field_04_full7band_i_lt_23p5_blindsearch_input.fits
4,24.0,1227448.0,1098497,1377,14697,1313,0.953522149600581,3508,0.23868816765326256,10.673202614379084,4793,1.020277996808162,0.043075705442817025,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_24p0/field04_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_24p0/field04_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field04_i_lt_24p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field04/csst_field_04_full7band_i_lt_24p0_blindsearch_input.fits
5,21.5,,103030,1148,16381,1124,0.9790940766550522,3572,0.21805750564678592,14.269163763066203,4567,1.0382690550336404,0.04309343931541432,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_21p5/field05_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_21p5/field05_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/version_1_1_noppm_field05_7band_i_lt_21p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_inputs/field05_7band_i_band_cuts/field05_7band_i_lt_21p5_blindsearch_input.fits
5,22.0,,155612,1148,16857,1123,0.9782229965156795,3630,0.2153408079729489,14.683797909407666,4636,1.0472982784387606,0.043076244911717465,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_22p0/field05_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_22p0/field05_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/version_1_1_noppm_field05_7band_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_inputs/field05_7band_i_band_cuts/field05_7band_i_lt_22p0_blindsearch_input.fits
5,22.5,,232859,1148,16771,1127,0.9817073170731707,3620,0.21584878659590961,14.608885017421603,4672,1.0267932129670012,0.04278168322868425,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_22p5/field05_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_22p5/field05_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/version_1_1_noppm_field05_7band_i_lt_22p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_inputs/field05_7band_i_band_cuts/field05_7band_i_lt_22p5_blindsearch_input.fits
5,23.0,,340902,1148,16936,1124,0.9790940766550522,3679,0.21722957014643363,14.752613240418118,4718,1.0299237745893697,0.04281140512449452,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_23p0/field05_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_23p0/field05_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/version_1_1_noppm_field05_7band_i_lt_23p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_inputs/field05_7band_i_band_cuts/field05_7band_i_lt_23p0_blindsearch_input.fits
5,23.5,,472365,1148,17111,1120,0.975609756097561,3687,0.21547542516509846,14.905052264808363,4711,1.0286264159147152,0.04288315729956693,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_23p5/field05_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_23p5/field05_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/version_1_1_noppm_field05_7band_i_lt_23p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_inputs/field05_7band_i_band_cuts/field05_7band_i_lt_23p5_blindsearch_input.fits
5,24.0,,580131,1148,17078,1126,0.980836236933798,3711,0.21729710738962407,14.876306620209059,4761,1.0344385301734436,0.04335576112393791,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_24p0/field05_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field05_i_lt_24p0/field05_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/version_1_1_noppm_field05_7band_i_lt_24p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_inputs/field05_7band_i_band_cuts/field05_7band_i_lt_24p0_blindsearch_input.fits
