n_members_threshold,candidates_kept,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,field_id,i_limit
30,3568,426,0.7802197802197802,921,0.25812780269058294,6.534798534798535,1207,1.0155006696011526,0.042002993538366895,3,23.5
50,2240,359,0.6575091575091575,632,0.28214285714285714,4.102564102564102,834,1.0239750579901163,0.04205550396476365,3,23.5
80,1149,276,0.5054945054945055,394,0.3429068755439513,2.1043956043956045,528,0.9959415189229639,0.041953926838357455,3,23.5
100,531,180,0.32967032967032966,218,0.4105461393596987,0.9725274725274725,309,0.9695619813969552,0.04226619466616166,3,23.5
3,7869,519,0.9505494505494505,1699,0.21591053501080187,14.412087912087912,2161,1.0325713119993898,0.043410469435507415,3,24.0
5,7626,516,0.945054945054945,1682,0.2205612378704432,13.967032967032967,2143,1.0349862593303936,0.04345772088809563,3,24.0
7,7274,512,0.9377289377289377,1646,0.22628540005499037,13.322344322344323,2106,1.0387505233105925,0.04335610705219631,3,24.0
10,6606,497,0.9102564102564102,1518,0.22979109900090827,12.098901098901099,1952,1.0366017639788287,0.04312570280447983,3,24.0
15,5395,473,0.8663003663003663,1268,0.235032437442076,9.880952380952381,1648,1.0350894890125393,0.04335610705219631,3,24.0
20,4659,458,0.8388278388278388,1079,0.23159476282464048,8.532967032967033,1412,1.0271728075816329,0.04335610705219631,3,24.0
30,3961,433,0.793040293040293,944,0.2383236556425145,7.254578754578755,1236,1.0335271954141256,0.04332364098271213,3,24.0
50,2649,376,0.6886446886446886,694,0.2619856549641374,4.851648351648351,904,1.0334976039220618,0.04416935224043761,3,24.0
80,1566,306,0.5604395604395604,448,0.28607918263090676,2.868131868131868,585,1.017150808461509,0.04337577949546706,3,24.0
100,917,223,0.4084249084249084,294,0.32061068702290074,1.6794871794871795,397,0.9993005662496411,0.044296774596753075,3,24.0
3,8923,1252,0.9092229484386347,3060,0.3429339908102656,6.480029048656499,4258,1.032598514262736,0.04150753153691911,4,21.5
5,7381,1209,0.8779956427015251,2814,0.38124915323126946,5.360203340595498,3972,1.032598514262736,0.040958383636017504,4,21.5
7,6124,1147,0.8329702251270878,2523,0.41198563030698887,4.447349310094408,3621,1.0273671149632178,0.0405151258627659,4,21.5
10,4657,1056,0.7668845315904139,2105,0.4520077302984754,3.381989832970225,3098,1.0160765977356725,0.03970683538530961,4,21.5
15,3280,934,0.6782861292665214,1603,0.48871951219512194,2.381989832970225,2433,1.002850761176906,0.03847816390465986,4,21.5
20,2342,827,0.6005809731299927,1182,0.5046968403074296,1.70079883805374,1839,0.9817781271682727,0.03824415815038057,4,21.5
30,1633,708,0.514161220043573,877,0.5370483772198408,1.1859114015976762,1391,0.9670234094883622,0.03748830413418952,4,21.5
50,1017,565,0.4103122730573711,617,0.6066863323500492,0.738562091503268,1023,0.97292480673966,0.03642418950183668,4,21.5
80,544,390,0.28322440087145967,372,0.6838235294117647,0.3950617283950617,627,0.9415745229987662,0.03634195014377817,4,21.5
100,360,289,0.20987654320987653,262,0.7277777777777777,0.26143790849673204,454,0.9354541120996905,0.03571039880030036,4,21.5
3,10722,1295,0.9404502541757443,3293,0.3071255362805447,7.786492374727668,4571,1.0227147305507291,0.04220372245158305,4,22.0
5,9315,1269,0.9215686274509803,3151,0.33827160493827163,6.764705882352941,4417,1.0217633835134377,0.041264602764256086,4,22.0
7,8159,1229,0.8925199709513435,2961,0.36291212158352737,5.925199709513435,4196,1.0189132253176316,0.04080295675420739,4,22.0
10,6734,1162,0.8438634713144517,2630,0.39055539055539057,4.890341321713871,3780,1.0051097449363433,0.03975316792945971,4,22.0
15,4774,1053,0.7647058823529411,2078,0.4352744030163385,3.466957153231663,3085,1.0039039161790477,0.03937200031327055,4,22.0
20,3482,963,0.6993464052287581,1620,0.4652498564043653,2.5286855482933914,2478,0.9917363371644798,0.03891493291071013,4,22.0
30,2410,846,0.6143790849673203,1150,0.47717842323651455,1.7501815541031227,1762,0.9625913561419337,0.03898055901696504,4,22.0
50,1670,720,0.5228758169934641,873,0.5227544910179641,1.2127814088598403,1396,0.9448687497043928,0.037829585053837295,4,22.0
80,980,546,0.39651416122004357,565,0.576530612244898,0.7116920842411039,905,0.9150503683718659,0.03667923930419992,4,22.0
100,638,440,0.31953522149600583,405,0.6347962382445141,0.46332607116920843,661,0.9184521175425575,0.03617566581227155,4,22.0
3,13407,1312,0.9527959331880901,3471,0.2588946072946968,9.736383442265796,4765,1.0216665240145628,0.043338276558119615,4,22.5
